docId,filename,top topics, and contribution to doc ...
1,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse10_18001-20000.txt,26,0.230,12,0.180,44,0.174,10,0.131,27,0.096,3,0.073
2,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse11_20001-22000.txt,44,0.246,12,0.245,26,0.144,27,0.104,10,0.054
3,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse12_22001-24000.txt,12,0.373,26,0.221,27,0.207
4,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse13_24001-26000.txt,12,0.284,27,0.215,26,0.186,10,0.061
5,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse14_26001-28000.txt,44,0.229,26,0.226,3,0.121,10,0.120,27,0.116,12,0.072
6,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse15_28001-30000.txt,44,0.281,26,0.197,12,0.134,27,0.102,10,0.085
7,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse16_30001-32000.txt,12,0.257,26,0.204,27,0.137,10,0.135,44,0.074
8,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse17_32001-34000.txt,12,0.224,26,0.215,27,0.178,3,0.131,10,0.088
9,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse18_34001-36000.txt,26,0.340,12,0.176,44,0.115,10,0.103,3,0.069,27,0.061
10,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse19_36001-38000.txt,26,0.268,10,0.138,27,0.130,12,0.123,3,0.090
11,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse1_1-2000.txt,3,0.577,12,0.112,26,0.106,27,0.083
12,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse20_38001-40000.txt,27,0.190,26,0.179,10,0.178,12,0.153,44,0.090,3,0.074
13,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse21_40001-42000.txt,10,0.246,12,0.201,26,0.163,27,0.155,3,0.066
14,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse22_42001-44000.txt,26,0.398,27,0.140,10,0.117,12,0.087,3,0.062
15,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse23_44001-46000.txt,26,0.250,12,0.178,3,0.126,27,0.124,10,0.106
16,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse24_46001-48000.txt,26,0.235,12,0.174,27,0.125,3,0.121,10,0.106,44,0.079,25,0.051
17,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse25_48001-50000.txt,26,0.314,27,0.193,3,0.162,12,0.096,10,0.069
18,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse26_50001-52000.txt,27,0.471,12,0.184,26,0.139,10,0.050
19,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse27_52001-54000.txt,12,0.275,26,0.244,27,0.216,10,0.076
20,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse28_54001-56000.txt,12,0.428,27,0.203,26,0.153,10,0.060
21,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse29_56001-58000.txt,12,0.318,10,0.215,27,0.160,26,0.110
22,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse2_2001-4000.txt,3,0.413,27,0.181,26,0.154,12,0.074
23,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse30_58001-60000.txt,12,0.389,26,0.148,27,0.130,3,0.103,10,0.080
24,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse31_60001-62000.txt,26,0.279,3,0.158,10,0.140,12,0.122,27,0.105
25,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse32_62001-63245.txt,26,0.241,12,0.193,27,0.143,3,0.116,10,0.075,44,0.050
26,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse3_4001-6000.txt,26,0.176,12,0.129,27,0.122,25,0.110,10,0.080,5,0.071,44,0.059
27,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse4_6001-8000.txt,26,0.259,44,0.173,3,0.137,12,0.113,10,0.112
28,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse5_8001-10000.txt,44,0.335,26,0.275,27,0.100,10,0.094,12,0.085
